Selected_Features
Frag_aniline
Frag_NH0
Frag_ether
Frag_Ar_N
Frag_halogen
Morgan_352
Morgan_1160
Morgan_1199
Frag_NH1
Morgan_1057
Morgan_294
Morgan_1097
Morgan_875
Frag_nitrile
Morgan_1747
Morgan_62
Morgan_807
Morgan_203
Morgan_935
Morgan_1452
Solvent_THF
Morgan_694
Morgan_984
Solvent_DCM
Solvent_TOL
Morgan_1357
Morgan_102
Morgan_1817
Morgan_1970
Morgan_656
Morgan_114
Morgan_1722
Morgan_739
Morgan_1243
Solvent_H2O
Morgan_1838
Morgan_191
Morgan_1352
Morgan_1985
Morgan_1603
Morgan_728
Morgan_1902
Morgan_854
Morgan_1697
Morgan_610
Morgan_1237
Solvent_HEX
Morgan_45
Morgan_1816
Morgan_1218
Morgan_1410
Morgan_737
Morgan_577
Morgan_844
Morgan_1501
Morgan_1825
Morgan_131
Morgan_1754
Morgan_1114
Morgan_1294
Morgan_1737
Morgan_598
Morgan_552
Morgan_616
Solvent_DMF
Morgan_58
Morgan_1956
Morgan_814
Morgan_1589
Morgan_1644
Morgan_899
Morgan_11
Morgan_232
Morgan_84
Morgan_675
Morgan_121
Morgan_1803
Morgan_248
Morgan_721
Morgan_414
Morgan_602
Morgan_765
