SMILES,Solvent,sample_index,y_true,oof_pred,oof_residual_true_minus_pred,cv_strategy
COc1c(C)cc(-c2ccc(Oc3ccc4ccccc4c3)c3nsnc23)cc1C,DMSO,475,513.0,498.6490783691406,14.350921630859375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
Cc1ccccc1-c1ccc(Oc2ccc3ccccc3c2)c2nsnc12,DMSO,476,514.0,545.7615356445312,-31.76153564453125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
c1ccc(Oc2ccccc2-n2cc(-c3ccc(-c4cn(-c5ccccc5Oc5ccccc5)nn4)c4nsnc34)nn2)cc1,DMSO,477,516.0,517.9176635742188,-1.91766357421875,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
c1ccc(-c2ccccc2-n2cc(-c3ccc(-c4cn(-c5ccccc5-c5ccccc5)nn4)c4nsnc34)nn2)cc1,DMSO,478,515.0,571.4979858398438,-56.49798583984375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
COc1ccc(Oc2ccc(-c3ccccc3-c3ccccc3)c3nsnc23)cc1,MEOH,479,515.0,496.8701171875,18.1298828125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
COc1c(C)cc(-c2ccc(Oc3ccc4ccccc4c3)c3nsnc23)cc1C,MEOH,480,518.0,498.6490783691406,19.350921630859375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
Cc1ccccc1-c1ccc(Oc2ccc3ccccc3c2)c2nsnc12,MEOH,481,519.0,545.7615356445312,-26.76153564453125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
c1ccc(Oc2ccccc2-n2cc(-c3ccc(-c4cn(-c5ccccc5Oc5ccccc5)nn4)c4nsnc34)nn2)cc1,MEOH,482,520.0,517.9176635742188,2.08233642578125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
c1ccc(-c2ccccc2-n2cc(-c3ccc(-c4cn(-c5ccccc5-c5ccccc5)nn4)c4nsnc34)nn2)cc1,MEOH,483,519.0,571.4979858398438,-52.49798583984375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CCn1c(=C(C#N)C#N)s/c(=C\c2ccc(-c3cc(C)c(-c4cc(C)c(-c5ccc(-c6sc(-c7sc(-c8ccc(/C=c9\sc(=C(C#N)C#N)n(CC)c9=O)c9nsnc89)cc7C)cc6C)s5)s4)s3)c3nsnc23)c1=O,MXYLENE,484,536.0,639.1614990234375,-103.1614990234375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CC1(C)c2ccccc2N(c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3nsnc23)c2ccccc21,THF,485,650.0,602.7342529296875,47.2657470703125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3nsnc23)cc(-n2c3ccccc3c3ccccc32)c1,DCM,486,558.0,562.7119140625,-4.7119140625,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CCCCCCc1cc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)sc1-c1ccc(-c2sc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)cc2CCCCCC)c2nsnc12,DCM,487,647.0,677.8505859375,-30.8505859375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CCCCCCc1cc(-c2ccc(-c3cc(CCCCCC)c(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)s3)c3nsnc23)sc1-c1ccc2c(c1)c1ccccc1n2-c1ccccc1,DCM,488,665.0,625.7797241210938,39.22027587890625,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CN(C)c1ccc(-c2cccc3nsnc23)cc1,CFM,489,617.0,620.9990844726562,-3.99908447265625,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
COc1ccc(-c2cccc3nsnc23)cc1,HEX,490,466.0,471.1397399902344,-5.139739990234375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
COc1ccc(-c2cccc3nsnc23)cc1,TOL,491,488.0,499.9101257324219,-11.910125732421875,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
COc1ccc(-c2cccc3nsnc23)cc1,THF,492,501.0,506.4913635253906,-5.491363525390625,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
COc1ccc(-c2cccc3nsnc23)cc1,CFM,493,507.0,526.0360717773438,-19.03607177734375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
COc1ccc(-c2cccc3nsnc23)cc1,DMSO,494,534.0,526.0360717773438,7.96392822265625,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
COc1ccc(-c2cccc3nsnc23)cc1,MEOH,495,547.0,526.0360717773438,20.96392822265625,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CNc1ccc(-c2cccc3nsnc23)cc1,HEX,502,426.0,514.9436645507812,-88.94366455078125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CNc1ccc(-c2cccc3nsnc23)cc1,TOL,503,470.0,547.1668090820312,-77.16680908203125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CNc1ccc(-c2cccc3nsnc23)cc1,THF,504,474.0,556.0283813476562,-82.02838134765625,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CNc1ccc(-c2cccc3nsnc23)cc1,CFM,505,478.0,574.6534423828125,-96.6534423828125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CNc1ccc(-c2cccc3nsnc23)cc1,DMSO,506,488.0,574.6534423828125,-86.6534423828125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
CNc1ccc(-c2cccc3nsnc23)cc1,MEOH,507,499.0,574.6534423828125,-75.6534423828125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
c1ccc(-c2cccc3nsnc23)cc1,HEX,508,421.0,424.23760986328125,-3.23760986328125,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
c1ccc(-c2cccc3nsnc23)cc1,TOL,509,431.0,440.5664978027344,-9.566497802734375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
c1ccc(-c2cccc3nsnc23)cc1,THF,510,431.0,444.8787536621094,-13.878753662109375,"StratifiedGroupKFold(SMILES,qcut_bins=5)"
